Hospital ID,Hospital Name,Total Free Bed,Total Free Critical Bed (without ventilator),Total Free Critical Bed (with ventilator),Total Free Non-Critical Bed,Available Free Critical Bed (without ventilator),Available Free Critical Bed (with ventilator),Available Free Non-Critical Bed,Hospital Phone no.,Cotact Person Name,Contact Person Mobile,Liason Officer Number,Last Update Date
3000694,R L K C(Metro) Hospital,10,1,0,9,1,0,8,01161316666,Kundan SIngh,9716417490,01161316666,3/17/2026 9:13:48 AM
3000700,Madhukar Rainbow Hospital,13,2,2,9,2,2,3,011-66888877,dr kaveri kaul,9796810071,,3/17/2026 12:12:26 PM
3000701,KAILASH DEEPAK HOSPITAL,15,1,1,13,0,0,11,01135353535,MS. NAVDEEP SHARMA,9711918433,011-35353535,5/29/2026 12:43:10 PM
3000702,Shree Agarsain International Hospital,15,1,2,12,0,0,7,011-66636600,DR. DHIRAJ MALIK (M.S),9811282538,9817903784,3/17/2026 1:41:41 PM
3000703,Venkateshwar Hospital,25,6,1,18,0,0,9,48555555,Mr. Pankaj,7290072932,48555555,1/29/2024 5:42:04 PM
3000704,MD City Hospital,10,1,0,9,0,0,9,01135213270,Brij Lata,07838236624,01135213270,
3000705,Maharaja Agrasen Dwarka,7,1,0,6,-7,-7,-35,01141347700,Narendra Singh,9599918131,,
3000706,Human Care Medical Charitable Trust,20,2,1,17,0,0,17,8448288367,MR Amit rana,8448288367,9312048849,1/28/2026 1:21:04 PM
3000707,St. Stephens Hospital,50,3,1,46,1,-1,40,01123957977,Dr. J.P.N. Gupta,7291977113,9810094642,6/8/2026 2:16:34 PM
3000710,HAHC Hospital,64,4,3,57,0,3,16,7065085511,Ms Heena Khan ( NODAL OFFICER),7065085511,7701980569,3/17/2026 1:00:54 PM
